Course,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price,Total Enrollment after  Phase 4,Seats Available after Phase 4,Phase 4 Price
35201-81,Cases in Financial Management,Autumn,2017,"Wednesday, 6:00 -  9:00","Born, Laura",52,13,0,49,16,0,49,16,N/A,49,16,N/A,65,CLO,102,65,CLO,4509
35600-60,Seminar: Finance,Autumn,2017,"Tuesday, 1:20 -  2:50","Cong, Lin William;Rajan, Raghuram",6,59,0,6,59,N/A,6,59,N/A,6,59,N/A,11,54,0,15,50,0
35601-60,Applied Theory Workshop,Autumn,2017,"Tuesday, 3:30 -  5:00","Frankel, Alexander",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A
35901-50,Theory of Financial Decisions I,Autumn,2017,"Monday, Wednesday, 8:30 - 11:30","Fama, Eugene",42,23,0,48,17,0,55,10,0,56,9,0,56,9,0,62,3,0
35904-50,Asset Pricing,Autumn,2017,"Thursday, 8:00 - 11:00","Heaton, John",5,60,0,5,60,N/A,6,59,0,6,59,N/A,7,58,N/A,9,56,0
35930-50,Research Seminar,Autumn,2017,"Monday, 2:50 -  4:20","He, Zhiguo;Zwick, Eric",3,17,0,3,17,N/A,3,17,N/A,3,17,N/A,4,16,0,5,15,0
36106-01,Managerial Decision Modeling,Autumn,2017,"Friday, 1:30 -  4:30","Martin, R.",4,41,0,4,41,N/A,13,32,0,14,31,0,12,33,0,13,32,0
36106-02,Managerial Decision Modeling,Autumn,2017,"Thursday, 8:30 - 11:30","Sandikçi, Burhaneddin",45,CLO,2,44,1,0,44,1,N/A,44,1,N/A,42,3,0,40,5,N/A
36106-81,Managerial Decision Modeling,Autumn,2017,"Friday, 6:00 -  9:00","Martin, R.",45,CLO,1,45,CLO,500,45,CLO,N/A,45,CLO,N/A,39,6,0,36,9,0
36106-82,Managerial Decision Modeling,Autumn,2017,"Thursday, 6:00 -  9:00","Sandikçi, Burhaneddin",34,11,0,38,7,0,38,7,N/A,40,5,0,37,8,0,34,11,N/A
36108-01,Data Analysis with Python ⑤,Autumn,2017,"Friday, 1:30 -  4:30","Cheng, Lingwei",22,8,0,27,3,0,30,CLO,2277,30,CLO,5012,30,CLO,1796,30,CLO,2567
36108-81,Data Analysis with Python ⑤,Autumn,2017,"Friday, 6:00 -  9:00","Cheng, Lingwei",24,6,0,27,3,0,30,CLO,1000,30,CLO,N/A,30,CLO,2300,30,CLO,305
36110-01,Application Development,Autumn,2017,"Friday, 1:30 -  4:30","Betina, Raghu",23,7,0,24,6,0,30,CLO,3567,30,CLO,N/A,30,CLO,4000,28,2,N/A
36110-85,Application Development,Autumn,2017,"Saturday, 1:30 -  4:30","Betina, Raghu",19,11,0,19,11,0,24,6,0,24,6,N/A,29,1,0,25,5,N/A
36600-60,Workshop in Operations/Management Science,Autumn,2017,"Tuesday,12:10 -  1:20","Xin, Linwei;Zhong, Yuan",1,64,0,1,64,N/A,1,64,N/A,1,64,N/A,3,62,0,3,62,N/A
36900-50,Linear Programming,Autumn,2017,"Thursday, 2:00 -  5:00","Martin, R.",1,64,0,1,64,N/A,6,59,0,7,58,0,9,56,0,9,56,N/A
36905-50,Approximate Dynamic Programming,Autumn,2017,"Wednesday, 8:30 - 11:30","Adelman, Dan",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,3,62,0,4,61,0
37000-01,Marketing Strategy,Autumn,2017,"Wednesday, 8:30 - 11:30","Shapiro, Bradley",24,46,0,29,41,0,70,CLO,2997,70,CLO,6996,70,CLO,7000,70,CLO,3007
37000-02,Marketing Strategy,Autumn,2017,"Wednesday, 1:30 -  4:30","Shapiro, Bradley",62,8,0,63,7,0,70,CLO,2511,70,CLO,3577,70,CLO,5000,70,CLO,3000
37000-03,Marketing Strategy,Autumn,2017,"Friday, 8:30 - 11:30","Rao, Anita",4,66,0,3,67,N/A,13,57,0,28,42,0,22,48,N/A,29,41,0
37000-04,Marketing Strategy,Autumn,2017,"Friday, 1:30 -  4:30","Rao, Anita",3,67,0,5,65,0,68,2,0,63,7,0,62,8,0,56,14,0
37000-81,Marketing Strategy,Autumn,2017,"Wednesday, 6:00 -  9:00","Shapiro, Bradley",63,7,0,59,11,0,70,CLO,551,68,2,0,70,CLO,1354,70,CLO,0
37000-85,Marketing Strategy,Autumn,2017,"Saturday, 1:30 -  4:30","Rao, Anita",43,27,0,37,33,N/A,66,4,0,63,7,0,69,1,0,66,4,N/A
37101-81,Consumer Behavior,Autumn,2017,"Wednesday, 6:00 -  9:00","Bartels, Daniel",70,CLO,1503,70,CLO,3000,70,CLO,N/A,70,CLO,N/A,70,CLO,6508,70,CLO,5500
37108-01,Startup Marketing ⑤,Autumn,2017,"Friday, 1:30 -  4:30","Misra, Sanjog",37,28,0,39,26,0,43,22,0,49,16,0,43,22,0,39,26,0
37200-85,New Products and Services,Autumn,2017,"Saturday, 1:30 -  4:30","Terrill, Craig",57,8,0,55,10,0,58,7,0,58,7,0,53,12,0,53,12,0
37301-85,Digital Marketing ,Autumn,2017,"Saturday, 1:30 -  4:30","Mohan, Lil",65,CLO,2000,65,CLO,3008,65,CLO,N/A,65,CLO,N/A,65,CLO,1000,65,CLO,2000
37304-01,Digital and Algorithmic Marketing,Autumn,2017,"Thursday, 1:30 -  4:30","Misra, Sanjog",26,39,0,26,39,N/A,27,38,0,27,38,N/A,26,39,N/A,28,37,0
37304-85,Digital and Algorithmic Marketing,Autumn,2017,"Saturday, 9:00 - 12:00","Misra, Sanjog",35,30,0,34,31,0,34,31,N/A,34,31,N/A,38,27,0,36,29,0
37601-60,Marketing Workshop,Autumn,2017,"Tuesday,10:40 - 12:00","Hitsch, Günter",5,60,0,6,59,0,9,56,0,9,56,N/A,11,54,0,13,52,0
38001-01,Managing in Organizations,Autumn,2017,"Monday, 1:30 -  4:30","McGill, Ann",65,CLO,27,65,CLO,4526,65,CLO,N/A,65,CLO,N/A,65,CLO,4000,65,CLO,7469
38001-02,Managing in Organizations,Autumn,2017,"Tuesday, 1:30 -  4:30","McGill, Ann",65,CLO,801,65,CLO,5893,65,CLO,N/A,65,CLO,N/A,65,CLO,4622,65,CLO,N/A
38001-81,Managing in Organizations,Autumn,2017,"Monday, 6:00 -  9:00","McGill, Ann",65,CLO,461,62,3,0,65,CLO,3999,65,CLO,N/A,65,CLO,2222,65,CLO,5024
38002-01,Managerial Decision Making,Autumn,2017,"Monday, 8:30 - 11:30","Hastie, Reid",18,47,0,21,44,0,29,36,0,31,34,0,26,39,0,25,40,0
38002-02,Managerial Decision Making,Autumn,2017,"Monday, 3:15 -  6:15","Hastie, Reid",17,48,0,18,47,0,33,32,0,35,30,0,29,36,0,28,37,0
38002-81,Managerial Decision Making,Autumn,2017,"Tuesday, 6:00 -  9:00","Hastie, Reid",24,41,0,22,43,0,27,38,0,26,39,N/A,28,37,0,28,37,0
38101-81,Persuasion: Effective Business Communication ⑤,Autumn,2017,"Thursday, 6:00 -  9:00","Weitzman, Hal",36,CLO,2554,36,CLO,10000,36,CLO,N/A,36,CLO,N/A,36,CLO,8002,36,CLO,6500
38103-01,Strategies and Processes of Negotiation,Autumn,2017,"Tuesday, 8:30 - 11:30","Shah, Anuj",55,CLO,103,55,CLO,5000,55,CLO,N/A,55,CLO,N/A,55,CLO,8111,55,CLO,2400
38103-02,Strategies and Processes of Negotiation,Autumn,2017,"Wednesday, 8:30 - 11:30","Shah, Anuj",43,12,0,44,11,0,55,CLO,3500,55,CLO,5010,55,CLO,8003,55,CLO,N/A
38103-03,Strategies and Processes of Negotiation,Autumn,2017,"Wednesday, 1:30 -  4:30","Wittenbrink, Bernd",12,43,0,14,41,0,51,4,0,48,7,0,55,CLO,1000,55,CLO,305
38103-81,Strategies and Processes of Negotiation,Autumn,2017,"Wednesday, 6:00 -  9:00","Shah, Anuj",55,CLO,3170,55,CLO,1000,55,CLO,N/A,55,CLO,N/A,55,CLO,2005,55,CLO,2021
38103-82,Strategies and Processes of Negotiation,Autumn,2017,"Wednesday, 6:00 -  9:00","Wittenbrink, Bernd",21,34,0,16,39,0,19,36,0,18,37,0,21,34,0,24,31,N/A
38103-85,Strategies and Processes of Negotiation,Autumn,2017,"Saturday, 1:30 -  4:30","Burrows, John",55,CLO,100,50,5,0,55,CLO,2000,55,CLO,N/A,49,6,0,48,7,0
38116-01,Leading and Managing Teams,Autumn,2017,"Thursday, 8:30 - 11:30","Zinchenko, Elena",19,21,0,22,18,0,23,17,0,23,17,0,23,17,0,22,18,0
38116-81,Leading and Managing Teams,Autumn,2017,"Thursday, 6:00 -  9:00","Zinchenko, Elena",37,3,0,36,4,0,40,CLO,2002,40,CLO,N/A,32,8,0,30,10,0
38119-01,Designing a Good Life,Autumn,2017,"Tuesday, 8:30 - 11:30","Epley, Nicholas",65,CLO,3014,65,CLO,16000,65,CLO,N/A,65,CLO,N/A,65,CLO,6047,65,CLO,8987
38119-02,Designing a Good Life,Autumn,2017,"Tuesday, 1:30 -  4:30","Epley, Nicholas",65,CLO,4964,65,CLO,10207,65,CLO,N/A,65,CLO,N/A,65,CLO,20750,65,CLO,N/A
38119-81,Designing a Good Life,Autumn,2017,"Monday, 6:00 -  9:00","Epley, Nicholas",65,CLO,7456,65,CLO,9873,65,CLO,N/A,65,CLO,N/A,65,CLO,14001,65,CLO,3765
38601-60,Workshop in Behavioral Science,Autumn,2017,"Monday,10:10 - 11:30","Pope, Devin;Wu, George",4,61,0,4,61,N/A,13,52,0,13,52,N/A,14,51,0,15,50,N/A
38901-50,Current Topics in Behavioral Science I: Intuitive Belief and Consumer Behavior,Autumn,2017,"Wednesday, 8:30 - 11:30","McGill, Ann;Risen, Jane",2,20,0,2,20,N/A,10,12,0,10,12,N/A,10,12,N/A,10,12,N/A
38912-50,Behavioral Economics,Autumn,2017,"Wednesday, 3:00 -  6:00","Imas, Alex;Kamenica, Emir;Thaler, Richard",3,37,0,3,37,N/A,11,29,0,12,28,0,16,24,0,16,24,N/A
39101-01,Technology Strategy,Autumn,2017,"Friday, 1:30 -  4:30","Knez, Marc",52,13,0,51,14,0,64,1,0,65,CLO,2354,65,CLO,4000,65,CLO,2078
39101-85,Technology Strategy,Autumn,2017,"Saturday, 9:00 - 12:00","Knez, Marc",70,CLO,3000,70,CLO,11889,70,CLO,N/A,70,CLO,N/A,70,CLO,8201,70,CLO,11896
39600-60,Workshop in Organizations and Markets,Autumn,2017,"Tuesday, 3:00 -  4:30","Chu, Johan;Sharkey, Amanda",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A
40000-01,Operations Management: Business Process Fundamentals,Autumn,2017,"Friday, 8:30 - 11:30","Caldentey, Rene",23,42,0,18,47,N/A,58,7,0,54,11,0,51,14,0,42,23,0
40000-81,Operations Management: Business Process Fundamentals,Autumn,2017,"Thursday, 6:00 -  9:00","Caldentey, Rene",51,14,0,48,17,0,62,3,0,60,5,0,50,15,0,53,12,0
40101-01,Supply Chain Strategy and Practice,Autumn,2017,"Wednesday, 2:00 -  5:00","DeHoratius, Nicole",40,CLO,1000,40,CLO,8871,40,CLO,N/A,40,CLO,N/A,40,CLO,3451,40,CLO,N/A
40101-81,Supply Chain Strategy and Practice,Autumn,2017,"Wednesday, 6:00 -  9:00","DeHoratius, Nicole",45,CLO,1000,42,3,0,44,1,0,44,1,N/A,45,CLO,2222,45,CLO,3801
40110-01,Managing Service Operations,Autumn,2017,"Friday, 1:30 -  4:30","Ryan, Christopher",16,29,0,14,31,0,29,16,0,29,16,0,30,15,0,28,17,0
40110-81,Managing Service Operations,Autumn,2017,"Friday, 6:00 -  9:00","Ryan, Christopher",42,3,0,41,4,0,45,CLO,2003,45,CLO,N/A,40,5,0,40,5,0
40110-85,Managing Service Operations,Autumn,2017,"Saturday, 1:30 -  4:30","Ryan, Christopher",45,CLO,985,41,4,0,45,CLO,2975,45,CLO,3927,45,CLO,1000,43,2,0
41000-01,Business Statistics,Autumn,2017,"Monday, 8:30 - 11:30","Creal, Drew",0,70,N/A,0,70,N/A,49,21,0,70,CLO,2300,70,CLO,2671,70,CLO,6123
41000-02,Business Statistics,Autumn,2017,"Monday, 1:30 -  4:30","Creal, Drew",3,67,0,3,67,N/A,70,CLO,0,70,CLO,3870,70,CLO,1323,70,CLO,N/A
41000-03,Business Statistics,Autumn,2017,"Friday, 8:30 - 11:30","Polson, Nicholas",1,64,0,0,65,N/A,10,55,0,44,21,0,38,27,0,33,32,N/A
41000-04,Business Statistics,Autumn,2017,"Tuesday, 1:30 -  4:30","Russell, Jeffrey",6,64,0,6,64,0,70,CLO,1270,70,CLO,3017,70,CLO,6725,70,CLO,3423
41000-05,Business Statistics,Autumn,2017,"Wednesday, 1:30 -  4:30","Russell, Jeffrey",5,65,0,5,65,N/A,70,CLO,1000,70,CLO,4064,70,CLO,12933,70,CLO,3618
41000-81,Business Statistics,Autumn,2017,"Monday, 6:00 -  9:00","Creal, Drew",2,63,0,2,63,N/A,13,52,0,12,53,N/A,34,31,0,48,17,0
41000-82,Business Statistics,Autumn,2017,"Tuesday, 6:00 -  9:00","Russell, Jeffrey",14,51,0,13,52,N/A,59,6,0,53,12,0,65,CLO,800,65,CLO,N/A
41000-85,Business Statistics,Autumn,2017,"Saturday, 9:00 - 12:00","Polson, Nicholas",7,58,0,7,58,N/A,32,33,0,30,35,N/A,30,35,0,37,28,0
41000-86,Business Statistics,Autumn,2017,"Saturday, 1:30 -  4:30","Hahn, P.",2,63,0,2,63,N/A,29,36,0,29,36,0,30,35,0,30,35,N/A
41100-01,Applied Regression Analysis,Autumn,2017,"Monday, 1:30 -  4:30","Farrell, Max",4,61,0,3,62,N/A,65,CLO,187,65,CLO,3029,65,CLO,1200,65,CLO,1000
41100-02,Applied Regression Analysis,Autumn,2017,"Tuesday, 1:30 -  4:30","Farrell, Max",10,55,0,11,54,0,65,CLO,654,65,CLO,5243,65,CLO,3033,65,CLO,1901
41100-03,Applied Regression Analysis,Autumn,2017,"Monday, 8:30 - 11:30","Wu, Jing",2,63,0,2,63,N/A,12,53,0,19,46,0,14,51,0,17,48,N/A
41100-04,Applied Regression Analysis,Autumn,2017,"Monday, 1:30 -  4:30","Wu, Jing",1,64,0,1,64,N/A,24,41,0,46,19,0,40,25,0,39,26,0
41100-81,Applied Regression Analysis,Autumn,2017,"Monday, 6:00 -  9:00","Farrell, Max",21,44,0,21,44,0,31,34,0,29,36,N/A,33,32,0,32,33,N/A
41100-85,Applied Regression Analysis,Autumn,2017,"Saturday, 1:30 -  4:30","Wu, Jing",5,60,0,8,57,0,19,46,0,17,48,N/A,19,46,0,19,46,0
41205-01,Data Analysis with R ⑤,Autumn,2017,"Friday, 1:30 -  4:30","Hahn, P.",14,51,0,16,49,0,51,14,0,55,10,0,49,16,0,46,19,0
41205-81,Data Analysis with R ⑤,Autumn,2017,"Friday, 6:00 -  9:00","Hahn, P.",21,44,0,19,46,N/A,24,41,0,26,39,0,28,37,0,23,42,0
41205-85,Data Analysis with R ⑤,Autumn,2017,"Saturday, 9:00 - 12:00","Hahn, P.",6,59,0,7,58,0,8,57,0,8,57,N/A,11,54,0,11,54,0
41301-01,"Statistical Insight into Marketing, Consulting, and Entrepreneurship",Autumn,2017,"Monday, 2:00 -  5:00","Gilula, Zvi",21,9,0,21,9,0,24,6,0,24,6,N/A,21,9,0,23,7,0
41301-81,"Statistical Insight into Marketing, Consulting, and Entrepreneurship",Autumn,2017,"Tuesday, 6:00 -  9:00","Gilula, Zvi",22,8,0,23,7,0,23,7,N/A,23,7,N/A,25,5,0,24,6,0
41600-60,Econometrics and Statistics Colloquium,Autumn,2017,"Thursday, 1:20 -  2:50","Hahn, P.;Kolar, Mladen",0,65,N/A,0,65,N/A,1,64,0,1,64,N/A,5,60,0,8,57,0
41901-50,Probability and Statistics,Autumn,2017,"Thursday, 8:30 - 11:30","Polson, Nicholas",3,62,0,3,62,N/A,8,57,0,10,55,0,13,52,0,12,53,N/A
42001-01,Competitive Strategy,Autumn,2017,"Tuesday, 1:30 -  4:30","Mahoney, Neale",34,36,0,40,30,0,70,CLO,1451,70,CLO,2405,67,3,N/A,70,CLO,4000
42001-02,Competitive Strategy,Autumn,2017,"Wednesday, 8:30 - 11:30","Mahoney, Neale",26,44,0,30,40,0,70,CLO,1583,70,CLO,2700,70,CLO,500,70,CLO,203
42001-03,Competitive Strategy,Autumn,2017,"Wednesday, 8:30 - 11:30","Shefi, Yoad",3,62,0,3,62,N/A,51,14,0,65,CLO,0,63,2,0,52,13,0
42001-04,Competitive Strategy,Autumn,2017,"Thursday, 1:30 -  4:30","Syverson, Chad",33,37,0,35,35,0,70,CLO,1807,70,CLO,1506,70,CLO,7,69,1,0
42001-81,Competitive Strategy,Autumn,2017,"Tuesday, 6:00 -  9:00","Mahoney, Neale",36,29,0,29,36,0,34,31,0,33,32,N/A,38,27,0,47,18,0
42001-82,Competitive Strategy,Autumn,2017,"Thursday, 6:00 -  9:00","Syverson, Chad",38,27,0,38,27,0,43,22,0,44,21,0,46,19,0,43,22,N/A
42117-01,Platform Competition ⑤,Autumn,2017,"Thursday, 8:30 - 11:30","Goolsbee, Austan",48,17,0,56,9,0,56,9,N/A,56,9,N/A,55,10,0,49,16,0
42117-02,Platform Competition ⑤,Autumn,2017,"Thursday, 1:30 -  4:30","Goolsbee, Austan",37,28,0,44,21,0,45,20,0,46,19,0,44,21,0,43,22,0
42117-81,Platform Competition ⑤,Autumn,2017,"Thursday, 6:00 -  9:00","Goolsbee, Austan",56,9,0,53,12,0,54,11,0,54,11,N/A,47,18,0,41,24,0
42121-81,Merger & Acquisition Strategy,Autumn,2017,"Wednesday, 6:00 -  9:00","Morrissette, Stephen",70,CLO,11153,70,CLO,14172,70,CLO,N/A,70,CLO,N/A,70,CLO,15198,70,CLO,N/A
42123-81,"Reputation, Regulation and Communications – How Media Influences Business",Autumn,2017,"Thursday, 6:00 -  9:00","Rolnik, Guy",49,16,0,50,15,0,58,7,0,58,7,0,60,5,0,61,4,0
42123-85,"Reputation, Regulation and Communications – How Media Influences Business",Autumn,2017,"Saturday, 9:00 - 12:00","Rolnik, Guy",65,CLO,100,65,CLO,2021,65,CLO,N/A,65,CLO,N/A,65,CLO,2623,65,CLO,6818
42201-81,The Legal Infrastructure of Business,Autumn,2017,"Monday, 6:00 -  9:00","Picker, Randal",60,5,0,65,CLO,807,65,CLO,N/A,65,CLO,N/A,65,CLO,13,64,1,0
42704-01,Integrated Strategic Management ⑤,Autumn,2017,"Thursday, 1:30 -  4:30","Fitzgerald, Kathleen",18,22,0,21,19,0,21,19,N/A,21,19,N/A,17,23,0,18,22,0
42704-85,Integrated Strategic Management ⑤,Autumn,2017,"Saturday, 9:00 - 12:00","Fitzgerald, Kathleen",22,18,0,19,21,0,19,21,N/A,19,21,N/A,18,22,0,14,26,0
42705-01,"Reputation, Regulation and Communications – How Media Influences Business - Lab",Autumn,2017,"Thursday, 1:30 -  4:30","Rolnik, Guy",26,10,0,29,7,0,46,CLO,0,46,CLO,N/A,38,CLO,N/A,36,CLO,1280
30000-81,Financial Accounting,Summer,2017,"Thursday, 6:00 -  9:00","Tomy, Rimmy",29,36,0,27,38,0,45,20,0,45,20,N/A,44,21,0,42,23,N/A
30000-85,Financial Accounting,Summer,2017,"Saturday, 1:30 -  4:30","Tomy, Rimmy",36,29,0,33,32,0,33,32,N/A,33,32,N/A,38,27,0,35,30,N/A
30001-81,Cost Analysis and Internal Controls,Summer,2017,"Thursday, 6:00 -  9:00","Hanna, J.",52,13,0,42,23,0,43,22,0,43,22,N/A,43,22,0,39,26,0
30001-85,Cost Analysis and Internal Controls,Summer,2017,"Saturday, 9:00 - 12:00","Hanna, J.",20,45,0,20,45,0,20,45,N/A,20,45,N/A,28,37,0,29,36,0
33001-81,Microeconomics,Summer,2017,"Friday, 6:00 -  9:00","Siebert, Ralph",14,51,0,11,54,0,29,36,0,30,35,0,31,34,0,29,36,N/A
33001-85,Microeconomics,Summer,2017,"Saturday, 9:00 - 12:00","Siebert, Ralph",7,58,0,5,60,0,5,60,N/A,5,60,N/A,6,59,0,7,58,0
33032-81,Managing the Workplace,Summer,2017,"Thursday, 6:00 -  9:00","Prendergast, Canice",65,CLO,1000,65,CLO,1,65,CLO,N/A,65,CLO,N/A,65,CLO,456,64,1,0
33040-81,Macroeconomics,Summer,2017,"Thursday, 6:00 -  9:00","Davis, Steven",65,CLO,1,63,2,0,63,2,N/A,63,2,N/A,60,5,0,59,6,0
33040-85,Macroeconomics,Summer,2017,"Saturday, 9:00 - 12:00","Davis, Steven",29,36,0,31,34,0,31,34,N/A,31,34,N/A,31,34,0,30,35,0
33113-81,History of Economic Ideas ⑤,Summer,2017,"Thursday, 6:00 -  9:00","Barry, Brian",17,23,0,18,22,0,18,22,N/A,18,22,N/A,13,27,0,13,27,0
33303-85,Managing in a Regulated Environment,Summer,2017,"Saturday, 1:30 -  4:30","Jenkins, Richard",31,34,0,29,36,0,32,33,0,32,33,N/A,28,37,0,27,38,N/A
33520-81,The Wealth of Nations,Summer,2017,"Thursday, 6:00 -  9:00","Hsieh, Chang-Tai",55,10,0,50,15,0,53,12,0,53,12,N/A,54,11,0,48,17,0
34101-81,Entrepreneurial Finance and Private Equity,Summer,2017,"Thursday, 6:00 -  9:00","Meadow, Scott",70,CLO,8000,70,CLO,11000,70,CLO,N/A,70,CLO,N/A,70,CLO,1943,70,CLO,13397
34101-85,Entrepreneurial Finance and Private Equity,Summer,2017,"Saturday, 9:00 - 12:00","Meadow, Scott",65,5,1,62,8,0,62,8,N/A,62,8,N/A,70,CLO,808,70,CLO,1500
34102-81,New Venture Strategy,Summer,2017,"Monday, 6:00 -  9:00","Schrager, James",65,CLO,11001,65,CLO,11199,65,CLO,N/A,65,CLO,N/A,65,CLO,20000,65,CLO,N/A
34111-81,Entrepreneurial Selling,Summer,2017,"Monday, 6:00 -  9:00","Leslie, Phillip",62,3,0,65,CLO,20,65,CLO,N/A,65,CLO,N/A,61,4,0,55,10,0
34701-81,New Venture and Small Enterprise Lab,Summer,2017,"Tuesday, 6:00 -  9:00","Moyer, Mike",24,CLO,3000,24,CLO,5009,24,CLO,N/A,24,CLO,N/A,23,1,0,23,1,0
35000-81,Investments,Summer,2017,"Friday, 6:00 -  9:00","Hadlock, Charles",51,14,0,49,16,0,50,15,0,51,14,0,49,16,0,50,15,0
35000-85,Investments,Summer,2017,"Saturday, 9:00 - 12:00","Hadlock, Charles",40,25,0,37,28,0,37,28,N/A,37,28,N/A,45,20,0,43,22,N/A
35200-81,Corporation Finance,Summer,2017,"Monday, 6:00 -  9:00","Vermaelen, Theo",65,CLO,2500,65,CLO,6822,65,CLO,N/A,65,CLO,N/A,65,CLO,10000,65,CLO,3943
35200-85,Corporation Finance,Summer,2017,"Saturday, 1:30 -  4:30","Vermaelen, Theo",33,32,0,34,31,0,34,31,N/A,34,31,N/A,44,21,0,49,16,0
35201-81,Cases in Financial Management,Summer,2017,"Thursday, 6:00 -  9:00","Hadlock, Charles",44,21,0,42,23,0,43,22,0,43,22,N/A,43,22,0,41,24,0
35201-82,Cases in Financial Management,Summer,2017,"Friday, 6:00 -  9:00","Muscarella, Chris",30,35,0,33,32,0,33,32,N/A,33,32,N/A,23,42,0,25,40,0
35201-85,Cases in Financial Management,Summer,2017,"Saturday, 9:00 - 12:00","Muscarella, Chris",16,49,0,15,50,0,15,50,N/A,15,50,N/A,17,48,0,15,50,0
36110-81,Application Development,Summer,2017,"Wednesday, 6:00 -  9:00","Betina, Raghu",0,30,N/A,30,CLO,1000,30,CLO,N/A,30,CLO,N/A,30,CLO,9000,30,CLO,N/A
37000-81,Marketing Strategy,Summer,2017,"Friday, 6:00 -  9:00","Dhar, Sanjay",65,CLO,2073,65,CLO,4200,65,CLO,N/A,65,CLO,N/A,65,CLO,5000,65,CLO,1
37000-85,Marketing Strategy,Summer,2017,"Saturday, 9:00 - 12:00","Dhar, Sanjay",65,CLO,100,65,CLO,3000,65,CLO,N/A,65,CLO,N/A,65,CLO,10000,65,CLO,6545
37107-81,Experimental Marketing,Summer,2017,"Wednesday, 6:00 -  9:00","Urminsky, Oleg",13,27,0,18,22,0,18,22,N/A,18,22,N/A,17,23,0,14,26,0
37107-85,Experimental Marketing,Summer,2017,"Saturday, 9:00 - 12:00","Urminsky, Oleg",15,25,0,12,28,N/A,12,28,N/A,12,28,N/A,13,27,0,14,26,0
38001-81,Managing in Organizations,Summer,2017,"Friday, 6:00 -  9:00","O'Brien, Ed",65,CLO,501,64,1,0,65,CLO,4003,65,CLO,1,56,9,0,54,11,0
38001-85,Managing in Organizations,Summer,2017,"Saturday, 9:00 - 12:00","O'Brien, Ed",25,40,0,27,38,0,27,38,N/A,27,38,N/A,36,29,0,37,28,0
38001-86,Managing in Organizations,Summer,2017,"Saturday, 1:30 -  4:30","O'Brien, Ed",44,21,0,41,24,0,41,24,N/A,41,24,N/A,53,12,0,51,14,0
38002-81,Managerial Decision Making,Summer,2017,"Wednesday, 6:00 -  9:00","Hastie, Reid",65,CLO,1500,65,CLO,1500,65,CLO,N/A,65,CLO,N/A,65,CLO,500,65,CLO,10000
38002-82,Managerial Decision Making,Summer,2017,"Thursday, 6:00 -  9:00","Hastie, Reid",35,30,0,32,33,0,39,26,0,40,25,0,43,22,0,41,24,0
38103-85,Strategies and Processes of Negotiation,Summer,2017,"Saturday, 1:30 -  4:30","Burrows, John",55,CLO,1000,55,CLO,1500,55,CLO,N/A,55,CLO,N/A,55,CLO,1000,54,1,0
40000-81,Operations Management: Business Process Fundamentals,Summer,2017,"Friday, 6:00 -  9:00","Chayet, Sergio",70,CLO,379,70,CLO,677,70,CLO,N/A,70,CLO,N/A,70,CLO,1500,70,CLO,7570
40000-85,Operations Management: Business Process Fundamentals,Summer,2017,"Saturday, 1:30 -  4:30","Chayet, Sergio",70,CLO,700,70,CLO,4343,70,CLO,N/A,70,CLO,N/A,70,CLO,4877,70,CLO,N/A
40111-85,Project Management,Summer,2017,"Saturday, 9:00 - 12:00","Chayet, Sergio",40,CLO,3994,40,CLO,5642,40,CLO,N/A,40,CLO,N/A,40,CLO,1599,40,CLO,3782
40908-50,Special Topics in Operations Management ⑤,Summer,2017,"Tuesday, Friday, 9:00 - 12:00","Zhong, Yuan",0,20,N/A,0,20,N/A,0,20,N/A,0,20,N/A,0,20,N/A,0,20,N/A
41000-81,Business Statistics,Summer,2017,"Monday, 6:00 -  9:00","Gilula, Zvi",39,26,0,38,27,0,56,9,0,55,10,N/A,55,10,0,51,14,N/A
41301-81,"Statistical Insight into Marketing, Consulting, and Entrepreneurship",Summer,2017,"Tuesday, 6:00 -  9:00","Gilula, Zvi",40,CLO,4299,40,CLO,12242,40,CLO,N/A,40,CLO,N/A,40,CLO,7500,40,CLO,37171
42001-81,Competitive Strategy,Summer,2017,"Wednesday, 6:00 -  9:00","Shefi, Yoad",65,CLO,657,65,CLO,3,65,CLO,N/A,65,CLO,N/A,65,CLO,509,64,1,N/A
42001-82,Competitive Strategy,Summer,2017,"Thursday, 6:00 -  9:00","Shefi, Yoad",30,35,0,31,34,0,36,29,0,37,28,0,46,19,0,41,24,0
30000-81,Financial Accounting,Spring,2017,"Tuesday, 6:00 -  9:00","Ball, Ray",29,36,0,28,37,0,53,12,0,54,11,0,65,CLO,200,65,CLO,1000
