Quarter,Section,Title,Program,Instructor,,Meeting Day/Time,Building,Location,Prerequisites,Syllabus,Note
Spring 2021,42001-02,Competitive Strategy,Full-Time MBA,"Marciano, Sonia",,F 8:30AM-11:30AM,,TBA,Bus 33001,Syllabus,Remote-Only
Winter 2021,42003-01,Literature and Strategic Leadership,Full-Time MBA,"Barry, Brian",,M 1:30PM-4:30PM,,TBA,Strongly recommended that students complete at least 4 Booth MBA courses before enrolling in this course.  Booth MBA students only.  No auditors:  strict.,Syllabus,"2nd Half : Week 5 - Week 9, 50 Unit Course, Remote-Only"
Winter 2021,42108-01,Corporate Governance,Full-Time MBA,"Chookaszian, Dennis",,F 1:30PM-4:30PM,Gleacher Center,100,,Syllabus,Remote-Only
Spring 2021,42116-01,Game Theory,Full-Time MBA,"Kamenica, Emir",,F 1:30PM-4:30PM,,TBA,No non-Booth students. No auditors.,Syllabus,Remote-Only
Autumn 2020,42117-01,Platform Competition,Full-Time MBA,"Goolsbee, Austan",,T 8:30AM-11:30AM,,TBA,Micro: Bus 33001 or 33002 or 33101: strict.  Cannot take Bus 42117 if Bus 33221 taken previously: strict.,Syllabus,"2nd Half : Week 5 - Week 9, 50 Unit Course, Remote-Only"
Autumn 2020,42117-02,Platform Competition,Full-Time MBA,"Goolsbee, Austan",,T 1:30PM-4:30PM,,TBA,Micro: Bus 33001 or 33002 or 33101: strict.  Cannot take Bus 42117 if Bus 33221 taken previously: strict.,Syllabus,"2nd Half : Week 5 - Week 9, 50 Unit Course, Remote-Only"
Spring 2021,42117-01,Platform Competition,Full-Time MBA,"Goolsbee, Austan",,T 8:30AM-11:30AM,,TBA,Micro: Bus 33001 or 33002 or 33101: strict.  Cannot take Bus 42117 if Bus 33221 taken previously: strict.,Syllabus,"1st Half : Week 1 - Week 5, 50 Unit Course, Remote-Only"
Spring 2021,42117-02,Platform Competition,Full-Time MBA,"Goolsbee, Austan",,T 1:30PM-4:30PM,,TBA,Micro: Bus 33001 or 33002 or 33101: strict.  Cannot take Bus 42117 if Bus 33221 taken previously: strict.,Syllabus,"1st Half : Week 1 - Week 5, 50 Unit Course, Remote-Only"
Autumn 2020,42123-01,"Reputation, Regulation and Communications – How Media Influences Business",Full-Time MBA,"Rolnik, Guy",,M 8:30AM-11:30AM,,TBA,Cannot enroll if 42705 taken previously: strict.,Syllabus,Remote-Only
Winter 2021,42125-01,Social Sector Strategy and Structure,Full-Time MBA,"Hachikian, Christina",,TH 1:30PM-4:30PM,Gleacher Center,100,Undergraduates require consent: strict<br><br>,Syllabus,"Faculty In-Person, Dual Modality"
Autumn 2020,42126-01,Arts Leadership: Exemplary is Not Enough,Full-Time MBA,"Ittelson, Mary",,W 1:30PM-4:30PM,,TBA,No College/Dougan Scholars. Non-Booth Masters and PhD allowed with instructor consent.  1st class attendance is mandatory.,Syllabus,"2nd Half : Week 5 - Week 9, 50 Unit Course, Remote-Only"
Autumn 2020,42705-01,"Reputation, Regulation and Communications – How Media Influences Business - Lab",Full-Time MBA,"Rolnik, Guy",,T 8:30AM-11:30AM,,TBA,Cannot enroll if 42123 taken previously: strict.,Syllabus,Remote-Only
Spring 2021,42708-01,Corporate Social Responsibility (CSR) Social Impact Practicum,Full-Time MBA,"Grossman, Caroline",,TH 8:30AM-11:30AM,,TBA,Application only: strict.,Syllabus,Remote-Only
Spring 2021,42709-01,Consulting Lab,Full-Time MBA,"Davis, Harry",,TH 2:00PM-5:00PM,,TBA,"Students will be enrolled if they apply & receive notice that they have been admitted to course. Given the importance of forming stable teams, any drops/withdrawals are only with approval. Cannot enroll in 42709 if 42701 taken previously: strict.",Syllabus,Remote-Only
Autumn 2020,42710-01,Social Impact Lab,Full-Time MBA,"Hachikian, Christina",,T 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
Spring 2021,42710-01,Social Impact Lab,Full-Time MBA,"Hachikian, Christina",,M 1:30PM-4:30PM,,TBA,,Syllabus,Remote-Only
